Cnty_ID,Year,Crash_Sev_ID,crash_count
Bastrop,2021,Killed,22
Bastrop,2021,Non-Incapacitating,252
Bastrop,2021,Not Injured,1272
Bastrop,2021,Possible Injury,250
Bastrop,2021,Unknown,81
Bastrop,2022,Incapacitating Injury,95
Bastrop,2022,Killed,23
Bastrop,2022,Non-Incapacitating,226
Bastrop,2022,Not Injured,1322
Bastrop,2022,Possible Injury,281
Bastrop,2022,Unknown,75
Bastrop,2023,Incapacitating Injury,108
Bastrop,2023,Killed,29
Bastrop,2023,Non-Incapacitating,255
Bastrop,2023,Not Injured,1382
Bastrop,2023,Possible Injury,301
Bastrop,2023,Unknown,87
Bastrop,2024,Incapacitating Injury,93
Bastrop,2024,Killed,22
Bastrop,2024,Non-Incapacitating,232
Bastrop,2024,Not Injured,1670
Bastrop,2024,Possible Injury,344
Bastrop,2024,Unknown,102
Baylor,2017,Incapacitating Injury,3
Baylor,2017,Killed,1
Baylor,2017,Non-Incapacitating,8
Baylor,2017,Not Injured,64
Baylor,2017,Unknown,1
Baylor,2018,Incapacitating Injury,3
Baylor,2018,Killed,1
Baylor,2018,Non-Incapacitating,10
Baylor,2018,Not Injured,93
Baylor,2018,Possible Injury,8
Baylor,2019,Incapacitating Injury,3
Baylor,2019,Killed,3
Baylor,2019,Non-Incapacitating,8
Baylor,2019,Not Injured,52
Baylor,2019,Possible Injury,7
Baylor,2020,Incapacitating Injury,2
Baylor,2020,Killed,3
Baylor,2020,Non-Incapacitating,5
Baylor,2020,Not Injured,48
Baylor,2020,Possible Injury,6
Baylor,2020,Unknown,3
Baylor,2021,Incapacitating Injury,4
Baylor,2021,Killed,1
Baylor,2021,Non-Incapacitating,14
Baylor,2021,Not Injured,46
Baylor,2021,Possible Injury,4
Baylor,2022,Incapacitating Injury,3
Baylor,2022,Non-Incapacitating,5
Baylor,2022,Not Injured,46
Baylor,2022,Possible Injury,5
Baylor,2023,Incapacitating Injury,2
Baylor,2023,Killed,2
Baylor,2023,Non-Incapacitating,13
Baylor,2023,Not Injured,41
Baylor,2023,Possible Injury,5
Baylor,2023,Unknown,1
Baylor,2024,Incapacitating Injury,3
Baylor,2024,Non-Incapacitating,17
Baylor,2024,Not Injured,46
Baylor,2024,Possible Injury,1
Baylor,2024,Unknown,1
Bee,2017,Incapacitating Injury,16
Bee,2017,Killed,4
Bee,2017,Non-Incapacitating,44
Bee,2017,Not Injured,292
Bee,2017,Possible Injury,85
Bee,2017,Unknown,11
Bee,2018,Incapacitating Injury,13
Bee,2018,Killed,2
Bee,2018,Non-Incapacitating,24
